,userId,rating,movieId
1129,hosu,10,169240
1130,hosu,6,68587
1131,hosu,1,168405
1132,hosu,10,17758
1133,hosu,8,72045
1134,hosu,8,12008
1135,hosu,1,156466
1136,hosu,10,26333
1137,hosu,10,29657
1138,hosu,6,144918
1139,hosu,6,152341
1140,hosu,10,140895
1141,hosu,10,141723
1142,hosu,10,121196
1143,hosu,10,10744
1144,hosu,1,159892
1145,hosu,8,37261
1146,hosu,10,10630
1147,hosu,1,37461
1148,hosu,4,43208
1149,hosu,10,53945
1150,hosu,5,93094
1151,hosu,10,46494
1152,hosu,10,31465
1153,hosu,8,34229
1154,hosu,8,86479
1155,hosu,1,142384
1156,hosu,1,168017
1157,hosu,8,109984
1158,hosu,1,95877
1159,hosu,9,65968
1160,hosu,8,52555
1161,hosu,10,29217
1162,hosu,8,37742
1163,hosu,8,52775
1164,hosu,1,87975
1165,hosu,1,19500
1166,hosu,1,27219
1167,hosu,1,158558
1168,hosu,1,173958
1169,hosu,1,156098
1170,hosu,10,38097
1171,hosu,6,39841
1172,hosu,7,158623
1173,hosu,1,168693
1174,hosu,1,167100
1175,hosu,1,147388
1176,hosu,1,174806
1177,hosu,1,171413
1178,hosu,1,130373
1179,hosu,1,169551
1180,hosu,1,171415
1181,hosu,1,17696
1182,hosu,10,19306
1183,hosu,1,174257
1184,hosu,1,165321
1185,hosu,10,70392
1186,hosu,10,143776
1187,hosu,1,158885
1188,hosu,9,137945
1189,hosu,6,168011
1190,hosu,10,96997
1191,hosu,1,173459
1192,hosu,1,158178
1193,hosu,1,146469
1194,hosu,10,174617
1195,hosu,1,144959
1196,hosu,1,155263
1197,hosu,1,171414
1198,hosu,1,164684
1199,hosu,1,171822
1200,hosu,1,170289
1201,hosu,1,159877
1202,hosu,1,169347
1203,hosu,1,172454
1204,hosu,6,83197
1205,hosu,10,10046
1206,hosu,9,10244
1207,hosu,7,11424
1208,hosu,10,10330
1209,hosu,10,158628
1210,hosu,10,158610
1211,hosu,2,127338
1212,hosu,9,97975
1213,hosu,7,92823
1214,hosu,8,114282
1215,hosu,8,101700
1216,hosu,5,158647
1217,hosu,8,78621
1218,hosu,7,82440
1219,hosu,7,71073
